,y,kcal,days,precipitation,amuse,curry,zeroRain,temperature,month,weather_快晴,weather_晴れ,weather_曇,weather_薄曇,weather_雨,weather_雪,weather_雷電
0,90,-1.0,0,-1.0,0,0,1,19.8,11,1,0,0,0,0,0,0
1,101,-1.0,1,-1.0,0,0,1,17.0,11,1,0,0,0,0,0,0
2,118,-1.0,2,-1.0,0,0,1,15.5,11,1,0,0,0,0,0,0
3,120,-1.0,3,-1.0,0,0,1,15.2,11,1,0,0,0,0,0,0
4,130,-1.0,4,-1.0,0,0,1,16.1,11,1,0,0,0,0,0,0
5,135,-1.0,5,-1.0,0,0,1,14.6,11,0,0,1,0,0,0,0
6,145,-1.0,6,-1.0,0,0,1,17.9,11,1,0,0,0,0,0,0
7,140,-1.0,7,-1.0,0,0,1,14.7,11,0,1,0,0,0,0,0
8,151,-1.0,8,-1.0,0,0,1,17.7,11,0,0,0,1,0,0,0
9,116,-1.0,9,-1.0,0,0,1,12.1,11,1,0,0,0,0,0,0
10,151,-1.0,10,-1.0,0,0,1,13.8,12,1,0,0,0,0,0,0
11,153,-1.0,11,-1.0,0,0,1,13.9,12,1,0,0,0,0,0,0
12,151,-1.0,12,-1.0,0,0,1,13.5,12,0,1,0,0,0,0,0
13,171,-1.0,13,-1.0,0,0,1,13.8,12,1,0,0,0,0,0,0
14,134,-1.0,14,-1.0,0,0,1,14.9,12,1,0,0,0,0,0,0
15,165,-1.0,15,-1.0,0,0,1,9.1,12,0,0,1,0,0,0,0
16,155,-1.0,16,0.5,0,0,0,7.1,12,0,0,1,0,0,0,0
17,157,-1.0,17,-1.0,0,0,1,11.0,12,0,0,1,0,0,0,0
18,109,-1.0,18,-1.0,0,0,1,12.3,12,1,0,0,0,0,0,0
19,111,-1.0,19,-1.0,0,0,1,13.9,12,1,0,0,0,0,0,0
20,160,-1.0,20,-1.0,0,0,1,11.3,12,1,0,0,0,0,0,0
21,145,-1.0,21,-1.0,0,0,1,10.8,12,0,0,1,0,0,0,0
22,145,-1.0,22,-1.0,0,0,1,7.8,12,0,0,1,0,0,0,0
23,151,-1.0,23,0.5,0,0,0,6.8,12,0,0,0,0,1,0,0
24,134,-1.0,24,-1.0,0,0,1,8.4,12,0,0,1,0,0,0,0
25,122,-1.0,25,-1.0,0,0,1,11.5,12,1,0,0,0,0,0,0
26,121,-1.0,26,-1.0,0,0,1,8.0,12,1,0,0,0,0,0,0
27,80,-1.0,27,-1.0,0,0,1,7.3,12,0,0,1,0,0,0,0
28,131,404.0,28,-1.0,0,1,1,7.3,1,1,0,0,0,0,0,0
29,128,462.0,29,-1.0,0,0,1,9.8,1,0,0,1,0,0,0,0
30,129,435.0,30,-1.0,0,0,1,10.9,1,0,0,1,0,0,0,0
31,87,440.0,31,-1.0,0,0,1,5.1,1,1,0,0,0,0,0,0
32,129,376.0,32,-1.0,0,0,1,5.8,1,0,1,0,0,0,0,0
33,134,450.0,33,-1.0,0,0,1,2.9,1,0,0,1,0,0,0,0
34,107,415.0,34,-1.0,0,0,1,7.0,1,1,0,0,0,0,0,0
35,85,430.0,35,-1.0,0,0,1,7.8,1,1,0,0,0,0,0,0
36,126,375.0,36,-1.0,0,0,1,6.5,1,0,1,0,0,0,0,0
37,129,447.0,37,-1.0,0,0,1,10.4,1,1,0,0,0,0,0,0
38,126,426.0,38,-1.0,0,1,1,7.4,1,1,0,0,0,0,0,0
39,107,400.0,39,-1.0,0,0,1,8.5,1,1,0,0,0,0,0,0
40,92,418.0,40,-1.0,0,1,1,10.1,1,1,0,0,0,0,0,0
