,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,y,soldout,kcal,payday,precipitation,temperature,days,month,amuse,curry,zeroRain,detrend_y,datetime_2013-12-12,datetime_2013-12-13,datetime_2013-12-26,datetime_2014-1-10,datetime_2014-1-17,datetime_2014-1-24,datetime_2014-1-31,datetime_2014-2-13,datetime_2014-2-14,datetime_2014-2-20,datetime_2014-2-28,datetime_2014-2-7,datetime_2014-3-12,datetime_2014-3-14,datetime_2014-3-26,datetime_2014-3-27,datetime_2014-3-6,datetime_2014-3-7,datetime_2014-4-16,datetime_2014-4-17,datetime_2014-4-18,datetime_2014-4-24,datetime_2014-5-2,datetime_2014-6-11,datetime_2014-6-26,datetime_2014-6-4,datetime_2014-8-1,datetime_2014-8-12,datetime_2014-9-22,week_Fri,week_Mon,week_Thur,week_Tues,week_Wed,name_たっぷりベーコンフライ,name_カレイ唐揚げ野菜あんかけ,name_カレイ野菜あんかけ,name_キスと野菜の天ぷら,name_タンドリーチキン,name_チキンクリームシチュー,name_チャプチェ,name_ビーフカレー,name_ホタテクリ―ムシチュー,name_ボローニャ風カツ,name_メダイ照り焼,name_ロース甘味噌焼き,name_厚切ハムカツ,name_回鍋肉,name_手作りひれかつ,name_手作りロースカツ,name_牛丼風煮,name_筑前煮,name_肉じゃが,name_肉団子クリームシチュー,name_豚肉の生姜焼き,name_酢豚,name_鶏のレモンペッパー焼orカレー,name_鶏の味噌漬け焼き,name_鶏の天ぷら,name_鶏の照り焼きマヨ,remarks_ChickenLemon_Curry,remarks_Nothing,event_Mom'sMeet,event_Nothing,weather_Cloudy,weather_Fine,weather_Rainy,weather_Snowy,weather_Sunny,weather_ThinCloudy
0,0,0,0,0,0,0,0,0,18,109,0,-1.0,0.0,-1.0,12.3,18,12,0,0,1,-2.01239996892034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,19,111,1,-1.0,0.0,-1.0,13.9,19,12,0,0,1,-1.6992577476946382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
2,2,2,2,2,2,2,2,2,27,80,0,-1.0,0.0,-1.0,7.3,27,12,0,0,1,-2.72454598815944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
3,3,3,3,3,3,3,3,3,31,87,0,440.0,1.0,-1.0,5.1,31,1,0,0,1,-2.022501330895363,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
4,4,4,4,4,4,4,4,4,35,85,1,430.0,0.0,-1.0,7.8,35,1,0,0,1,-1.5275345941192526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
5,5,5,5,5,5,5,5,5,40,92,1,418.0,0.0,-1.0,10.1,40,1,0,1,1,-1.1285307961058575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
6,6,6,6,6,6,6,6,6,45,92,1,460.0,0.0,-1.0,14.1,45,1,0,0,1,-1.0174158143806078,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
7,7,7,7,7,7,7,7,7,50,91,1,425.0,0.0,-1.0,5.5,50,2,0,0,1,-1.1487335200559026,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
8,8,8,8,8,8,8,8,8,53,84,0,438.0,0.0,-1.0,6.4,53,2,0,0,1,-1.5073318701692076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
9,9,9,9,9,9,9,9,9,54,86,1,432.0,0.0,0.5,1.2,54,2,0,0,0,-1.219443053881061,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
10,10,10,10,10,10,10,10,10,58,85,1,426.0,0.0,-1.0,5.4,58,2,0,0,1,-1.1588348820309249,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
11,11,11,11,11,11,11,11,11,64,69,0,428.0,0.0,-1.0,17.7,64,2,0,0,1,-1.7901700054698424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
12,12,12,12,12,12,12,12,12,68,77,0,409.0,0.0,-1.0,6.7,68,3,0,0,1,-1.259848501781152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
13,13,13,13,13,13,13,13,13,69,73,1,396.0,0.0,-1.0,7.0,69,3,0,0,1,-1.4214702933815146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
14,14,14,14,14,14,14,14,14,72,68,0,370.0,0.0,-1.0,14.8,72,3,0,1,1,-1.3659128025188898,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
15,15,15,15,15,15,15,15,15,74,70,1,360.0,0.0,-1.0,11.5,74,3,0,0,1,-1.0325678573431418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
16,16,16,16,16,16,16,16,16,81,51,0,392.0,0.0,-1.0,18.7,81,3,0,0,1,-1.775017962507308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
17,17,17,17,17,17,17,17,17,82,55,1,315.0,0.0,1.5,12.4,82,3,0,0,0,-1.3810648454814236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
18,18,18,18,18,18,18,18,18,96,57,0,330.0,0.0,-1.0,21.5,96,4,0,0,1,-1.9366397541076703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
19,19,19,19,19,19,19,19,19,97,57,0,333.0,0.0,-1.0,20.1,97,4,0,0,1,-1.7245111526321948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
20,20,20,20,20,20,20,20,20,98,56,1,325.0,0.0,0.0,11.4,98,4,0,0,0,-1.5578386800443207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
21,21,21,21,21,21,21,21,21,102,56,1,360.0,0.0,-1.0,19.9,102,4,0,0,1,-1.1790376059809708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
22,22,22,22,22,22,22,22,22,107,47,0,420.0,0.0,-1.0,23.3,107,5,0,0,1,-1.153784201043414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
23,23,23,23,23,23,23,23,23,128,47,0,424.0,0.0,-1.0,27.5,128,6,0,0,1,-1.4315716553565376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
